""	"GO"	"1"	"2"	"3"	"4"	"5"
"1"	"amino acid transport"	"-0.363826710784314"	"-0.34360259375"	"-0.0733460666666667"	"-0.21140615625"	"-0.18582659375"
"2"	"ATPase activity"	"-0.291502669902913"	"-0.326505142857143"	"-0.0843108191489362"	"-0.065222152173913"	"0.14380101"
"3"	"biological_process"	"-0.0980441088504578"	"-0.0835606555435953"	"-0.0342549303867403"	"-0.0676646181229773"	"-0.0947520894901145"
"4"	"carbohydrate metabolic process"	"-0.0823230496183207"	"-0.149738575"	"-0.164387"	"-0.110012297520661"	"-0.047344584"
"5"	"carbohydrate transport"	"-0.331721265151515"	"-0.258159095238095"	"-0.238883894736842"	"-0.368298666666667"	"-0.106674571428571"
"6"	"cell budding"	"-0.633330652380952"	"-0.587046125"	"-0.709564242424242"	"-0.5948305"	"-0.551198911764706"
"7"	"cell cortex"	"-0.540171203900709"	"-0.49769493258427"	"-0.689279662650602"	"-0.55652369047619"	"-0.376589561797753"
"8"	"cell morphogenesis"	"-0.315155588888889"	"-0.501413785714286"	"-0.366573933333333"	"-0.118729571428571"	"-0.636419666666667"
"9"	"cell wall"	"-0.286746875586854"	"-0.191111089552239"	"-0.350555746268657"	"-0.198236260869565"	"-0.242091560606061"
"10"	"cell wall organization or biogenesis"	"-0.239237148578811"	"-0.195368170731707"	"-0.303663823529412"	"-0.258266827868852"	"-0.155496612903226"
"11"	"cellular amino acid metabolic process"	"-0.16386526007326"	"-0.159838546511628"	"-0.00226323333333333"	"-0.0551564431818182"	"0.0709482045454545"
"12"	"cellular bud"	"-0.527137311403509"	"-0.396062496503497"	"-0.577187369565217"	"-0.495643868613139"	"-0.497616398648649"
"13"	"cellular ion homeostasis"	"-0.171385109756098"	"-0.0989346153846154"	"0.108190666666667"	"-0.13424675"	"-0.0241443066666667"
"14"	"cellular respiration"	"0.00181771568627459"	"-0.197022"	"0.381387529411765"	"0.05952634"	"0.163577525"
"15"	"cellular response to DNA damage stimulus"	"-0.57136874122807"	"-0.518669371212121"	"-0.351600641791045"	"-0.338806952"	"0.10326755033557"
"16"	"cellular_component"	"-0.092718773538961"	"-0.0857094236111111"	"-0.0367679928315412"	"-0.0899531795774648"	"-0.053615652892562"
"17"	"chromatin binding"	"-0.46967415530303"	"-0.344162153846154"	"-0.291232390243902"	"-0.38422495"	"0.268496341463415"
"18"	"chromatin organization"	"-0.364439419791667"	"-0.313926536423841"	"-0.277925165562914"	"-0.262556212765957"	"0.206769472049689"
"19"	"chromosome"	"-0.384515974137931"	"-0.369238591463415"	"-0.202403579617834"	"-0.306824331125828"	"0.236925299401198"
"20"	"chromosome segregation"	"-0.476958662601626"	"-0.414099378378378"	"-0.289389267605634"	"-0.349186305555556"	"0.156275430379747"
"21"	"cofactor metabolic process"	"-0.0245069646464647"	"0.0348277912087912"	"0.0677801195652174"	"0.0617326666666667"	"0.0823204555555556"
"22"	"conjugation"	"-0.324066567982456"	"-0.255271104477612"	"-0.539745811594203"	"-0.300649892307692"	"-0.274319971428571"
"23"	"cytokinesis"	"-0.328379489130435"	"-0.388923857142857"	"-0.497237"	"-0.673315105263158"	"-0.284617444444444"
"24"	"cytoplasm"	"-0.12591823937406"	"-0.123946401653612"	"-0.0638361106684374"	"-0.108371485585586"	"-0.0509240439174352"
"25"	"cytoplasmic translation"	"0.341019112903226"	"-0.186276795454545"	"0.0946207674418605"	"-0.291166493506493"	"0.113896307692308"
"26"	"cytoplasmic vesicle"	"-0.189880905952381"	"-0.0213542255639098"	"-0.279166725806452"	"-0.15985676984127"	"0.083329456"
"27"	"cytoskeletal protein binding"	"-0.889981978632479"	"-0.722069243243243"	"-0.955705388888889"	"-0.735603648648649"	"-0.212555"
"28"	"cytoskeleton"	"-0.554798537037037"	"-0.502642031914894"	"-0.719296449438202"	"-0.55354906741573"	"-0.279493193548387"
"29"	"cytoskeleton organization"	"-0.49949854954955"	"-0.460739722222222"	"-0.50367785106383"	"-0.482098525773196"	"-0.338070447619048"
"30"	"DNA binding"	"-0.215476547619048"	"-0.242929891625616"	"-0.161018707317073"	"-0.16639831443299"	"0.057921511627907"
"31"	"DNA recombination"	"-0.525339888257576"	"-0.467116763157895"	"-0.221596935064935"	"-0.285718885714286"	"0.146388885057471"
"32"	"DNA repair"	"-0.528251635501355"	"-0.483160342857143"	"-0.306555514018692"	"-0.265620545454545"	"0.137621991803279"
"33"	"DNA replication"	"-0.668290003205128"	"-0.469288875"	"-0.4544866"	"-0.369630340425532"	"0.0838088510638298"
"34"	"DNA-templated transcription, elongation"	"-0.904259508333333"	"-0.644739485714286"	"-0.427237131578947"	"-0.437777970588235"	"0.302659952380952"
"35"	"DNA-templated transcription, initiation"	"-1.25432676190476"	"-0.809483909090909"	"-0.3970675"	"-0.8741555"	"0.0949190769230769"
"36"	"DNA-templated transcription, termination"	"-0.589986369047619"	"-0.213645272727273"	"-0.200923416666667"	"-0.455710636363636"	"0.138807461538462"
"37"	"endocytosis"	"-0.284088563131313"	"-0.127853650793651"	"-0.404497310344828"	"-0.265641018181818"	"-0.170089836065574"
"38"	"endomembrane system"	"-0.207660239068711"	"-0.128902244165171"	"-0.274398746691871"	"-0.186219068441065"	"-0.00191715579710145"
"39"	"endoplasmic reticulum"	"-0.22753424868421"	"-0.143462573816156"	"-0.258028361271676"	"-0.208610578947368"	"-0.0484012055555556"
"40"	"endosomal transport"	"-0.175497641025641"	"0.0468285396825397"	"-0.621246339285714"	"-0.143128807017544"	"0.00767236363636363"
"41"	"enzyme binding"	"-0.160864798850575"	"-0.122066407407407"	"-0.309646785714286"	"-0.257064769230769"	"0.0608664827586207"
"42"	"enzyme regulator activity"	"-0.456119925245098"	"-0.360287401574803"	"-0.469617529411765"	"-0.398019290598291"	"-0.276287916030534"
"43"	"exocytosis"	"-0.294949575757576"	"-0.3039481"	"-0.2441474"	"-0.2528943"	"-0.2713184"
"44"	"extracellular region"	"-0.195302050724638"	"-0.168259619047619"	"-0.335214363636364"	"-0.116727954545455"	"-0.528068318181818"
"45"	"generation of precursor metabolites and energy"	"-0.0104954646464646"	"-0.145926066666667"	"0.0856347244897959"	"0.00535039583333333"	"-0.0350457356321839"
"46"	"Golgi apparatus"	"-0.186206516806723"	"-0.0180116036036036"	"-0.261440345794393"	"-0.0557174392523365"	"0.255564885964912"
"47"	"Golgi vesicle transport"	"-0.201238930272109"	"-0.0637128522727273"	"-0.270835808988764"	"-0.112674534883721"	"0.186653166666667"
"48"	"GTPase activity"	"-0.32261225"	"-0.080342037037037"	"0.0978003571428571"	"0.00506207692307693"	"-0.16553336"
"49"	"guanyl-nucleotide exchange factor activity"	"-0.718762078947368"	"-0.580720058823529"	"-0.681201166666667"	"-0.414582"	"-0.707893277777778"
"50"	"helicase activity"	"-0.567091061403509"	"-0.627902684210526"	"-0.547048"	"-0.414385444444444"	"0.2320275"
"51"	"histone binding"	"-0.534738968253968"	"-0.52143845"	"-0.7619727"	"-0.615739111111111"	"-0.142006428571429"
"52"	"histone modification"	"-0.537971536723164"	"-0.330900631578947"	"-0.276544473684211"	"-0.300340946428571"	"0.0623798064516129"
"53"	"hydrolase activity"	"-0.172034657738095"	"-0.120751565632458"	"-0.0661528205741627"	"-0.0358662132352941"	"0.01656505"
"54"	"hydrolase activity, acting on glycosyl bonds"	"-0.150028102564102"	"-0.0556988157894737"	"-0.378432111111111"	"-0.0172691111111111"	"-0.293208228571429"
"55"	"invasive growth in response to glucose limitation"	"-0.201544572072072"	"-0.199122432432432"	"-0.272766794117647"	"-0.113020032258065"	"-0.135392515151515"
"56"	"ion binding"	"-0.333384894557823"	"-0.230294580645161"	"-0.215770077777778"	"-0.201311302325581"	"-0.115971768421053"
"57"	"ion transport"	"-0.0711876471631206"	"-0.0587502643678161"	"0.0217253542857143"	"-0.028715783625731"	"-0.0580305111111111"
"58"	"isomerase activity"	"-0.368858619047619"	"-0.185791964285714"	"-0.0219995"	"-0.129309038461538"	"0.212388"
"59"	"kinase activity"	"-0.223667726608187"	"-0.242718833333333"	"-0.15142479245283"	"-0.137084694444444"	"-0.211322633928571"
"60"	"ligase activity"	"-0.113379388888889"	"-0.2686015"	"0.0739345428571428"	"-0.1770284375"	"-0.45588721875"
"61"	"lipid binding"	"-0.314231486338798"	"-0.203315830508475"	"-0.358348655172414"	"-0.212629433962264"	"-0.13422325862069"
"62"	"lipid metabolic process"	"-0.164387730769231"	"-0.173320777777778"	"-0.195629878205128"	"-0.240904"	"0.0546654"
"63"	"lipid transport"	"-0.18177374"	"-0.253862729166667"	"-0.0522294565217391"	"-0.0859923863636364"	"-0.0285626041666667"
"64"	"lyase activity"	"-0.185589635658915"	"-0.157299414634146"	"0.0403364761904762"	"0.0287186"	"0.102696702702703"
"65"	"meiotic cell cycle"	"-0.2592034991274"	"-0.187209520467836"	"-0.0751747471264368"	"-0.108826647058824"	"0.140387769230769"
"66"	"membrane"	"-0.111059843400447"	"-0.0801980685071575"	"-0.0623516745623069"	"-0.0916663526970954"	"-0.0472387402464066"
"67"	"membrane fusion"	"-0.278690247619048"	"-0.222263314285714"	"-0.324290696969697"	"-0.357648766666667"	"-0.172193965517241"
"68"	"methyltransferase activity"	"-0.157784599462366"	"-0.0884671694915254"	"0.055921649122807"	"-0.0548291724137931"	"-0.100321052631579"
"69"	"microtubule organizing center"	"-0.566528827380953"	"-0.540045464285714"	"-0.73998832"	"-0.42419"	"0.03097325"
"70"	"mitochondrial envelope"	"0.0843797456140351"	"0.0360711734693878"	"0.461986688118812"	"0.189559407216495"	"0.120069602339181"
"71"	"mitochondrial translation"	"0.396870766666667"	"0.178791779661017"	"0.947987059701493"	"0.302678783333333"	"0.61253"
"72"	"mitochondrion"	"-0.00852730510948905"	"-0.0454384778481013"	"0.270506075038285"	"0.0493355241157556"	"0.0871806745762712"
"73"	"mitochondrion organization"	"0.214021947819315"	"0.079168959798995"	"0.622443868932039"	"0.225253883838384"	"0.311327884848485"
"74"	"mitotic cell cycle"	"-0.419478924145299"	"-0.445322957142857"	"-0.379028132352941"	"-0.410960459854015"	"-0.037680614379085"
"75"	"molecular_function"	"-0.113074362068966"	"-0.0862248804034582"	"-0.0497466162361624"	"-0.0991185091041515"	"-0.041072652294854"
"76"	"monocarboxylic acid metabolic process"	"-0.150051514035088"	"-0.0425712470588235"	"-0.0324876444444444"	"-0.0240521764705882"	"-0.119097695652174"
"77"	"mRNA binding"	"-0.214862683982684"	"-0.24660924"	"0.0631978333333333"	"-0.0289369130434783"	"-0.0146715138888889"
"78"	"mRNA processing"	"-0.257009898148148"	"-0.318257735294118"	"-0.0613049"	"-0.30530437037037"	"-0.11487059375"
"79"	"not_yet_annotated"	"-0.0851835"	"0.472784"	"0.390646"	"0.289588"	"-0.593461"
"80"	"nuclear transport"	"-0.125109603896104"	"-0.307266142857143"	"-0.121396701492537"	"-0.375314412698413"	"0.1212285"
"81"	"nuclease activity"	"-0.215192477777778"	"-0.0570426904761905"	"-0.0759438139534884"	"-0.000445374999999996"	"0.077878625"
"82"	"nucleic acid binding transcription factor activity"	"-0.152308478547855"	"-0.195571031578947"	"-0.291328443298969"	"-0.273063615384615"	"-0.0799806161616162"
"83"	"nucleobase-containing compound transport"	"-0.0448590532407409"	"-0.0697584153846154"	"-0.0477695483870968"	"-0.187166245614035"	"0.138070149253731"
"84"	"nucleobase-containing small molecule metabolic process"	"-0.0484335576923078"	"-0.0940821894736842"	"0.0516640322580645"	"-0.0339489010989011"	"-0.158893117021277"
"85"	"nucleolus"	"-0.0641674656084656"	"-0.238628228070175"	"0.014204701754386"	"-0.14329632"	"0.492334633333333"
"86"	"nucleotidyltransferase activity"	"-0.474353013888889"	"-0.336361304347826"	"-0.302567333333333"	"-0.273852777777778"	"-0.07587115"
"87"	"nucleus"	"-0.236290084433164"	"-0.207277030237581"	"-0.148963455337691"	"-0.161884312288613"	"0.0378250737279335"
"88"	"nucleus organization"	"-0.0756013535353535"	"-0.260032633333333"	"-0.0224958333333333"	"-0.0753067586206896"	"0.318726545454545"
"89"	"oligosaccharide metabolic process"	"-0.0858807444444445"	"-0.256138642857143"	"-0.281990928571429"	"0.0488508571428571"	"-0.202858153846154"
"90"	"organelle assembly"	"-0.0590390286458333"	"-0.302239967213115"	"-0.0149005084745763"	"-0.171706892857143"	"0.0514764461538462"
"91"	"organelle fission"	"-0.398423565868263"	"-0.34129374"	"-0.212793657342657"	"-0.237476692307692"	"0.125259591194969"
"92"	"organelle fusion"	"-0.362492699186992"	"-0.258879317073171"	"-0.3485605"	"-0.378079257142857"	"-0.236030542857143"
"93"	"organelle inheritance"	"-0.441808602150538"	"-0.340941766666667"	"-0.274817034482759"	"-0.436923344827586"	"-0.1307014"
"94"	"other"	"-0.168034036231884"	"-0.146367698630137"	"-0.0859288741721854"	"-0.0809122334494774"	"-0.109678397435897"
"95"	"oxidoreductase activity"	"-0.158331888571429"	"-0.0804458588957055"	"-0.0668826047904192"	"-0.0704333878787879"	"-0.0795421890243902"
"96"	"peptidase activity"	"-0.160756866120218"	"-0.130144779661017"	"0.0940627894736842"	"-0.00224213793103449"	"-0.0444421454545455"
"97"	"peptidyl-amino acid modification"	"-0.497932097222222"	"-0.3358579375"	"-0.302152519480519"	"-0.314489717948718"	"0.0190414117647059"
"98"	"peroxisome"	"0.0748353198924732"	"0.113292072727273"	"0.0785313928571429"	"0.0948939482758621"	"0.0210846551724138"
"99"	"peroxisome organization"	"0.184880857142857"	"0.108548763157895"	"0.182643342105263"	"0.13732335"	"-0.0105900526315789"
"100"	"phosphatase activity"	"-0.0398624974747476"	"-0.0654726"	"-0.0693755"	"-0.0788150163934426"	"0.0284368059701493"
"101"	"plasma membrane"	"-0.176003224428399"	"-0.09118707421875"	"-0.14630538372093"	"-0.108104259541985"	"-0.164990526515152"
"102"	"protein acylation"	"-0.395711777777778"	"-0.20779584375"	"-0.1265356875"	"-0.133834"	"0.131768028571429"
"103"	"protein alkylation"	"-0.464228301075269"	"-0.269609258064516"	"-0.449054103448276"	"-0.317363548387097"	"0.00731849999999999"
"104"	"protein binding, bridging"	"-0.159542858974359"	"-0.300069117647059"	"-0.283730057142857"	"-0.0548585277777778"	"-0.0531450263157895"
"105"	"protein complex biogenesis"	"-0.185133809160305"	"-0.168303642276423"	"0.1059521"	"-0.0527641639344262"	"0.0263833486238532"
"106"	"protein dephosphorylation"	"-0.251223260416667"	"-0.285856655172414"	"-0.269703733333333"	"-0.1281015"	"-0.00852118181818179"
"107"	"protein folding"	"-0.415771269230769"	"-0.259435367346939"	"-0.345087555555556"	"-0.282861152173913"	"-0.16171206122449"
"108"	"protein glycosylation"	"-0.121785310185185"	"0.0661568333333333"	"-0.650683548387097"	"-0.47605090625"	"0.178423515151515"
"109"	"protein lipidation"	"-0.423009510416666"	"-0.3959780625"	"-0.5123298"	"-0.483529266666667"	"-0.162886941176471"
"110"	"protein maturation"	"-0.0820289444444439"	"-0.06492203125"	"0.250261875"	"-0.126645833333333"	"0.0132150769230769"
"111"	"protein modification by small protein conjugation or removal"	"-0.368759531914894"	"-0.359089953488372"	"-0.359487447058824"	"-0.358014678571429"	"-0.0957318659793814"
"112"	"protein phosphorylation"	"-0.325091903005465"	"-0.298627830508475"	"-0.225384830357143"	"-0.228994974137931"	"-0.208559966386555"
"113"	"protein targeting"	"-0.065707988235294"	"-0.0824960705128205"	"-0.116830539473684"	"-0.112711099337748"	"-0.10061166875"
"114"	"protein transporter activity"	"-0.151088640350877"	"-0.181082315789474"	"-0.1452504375"	"-0.2138075"	"0.1752990625"
"115"	"proteolysis involved in cellular protein catabolic process"	"-0.195045188218391"	"-0.153353172727273"	"-0.252402609090909"	"-0.140805644859813"	"-0.189386552631579"
"116"	"pseudohyphal growth"	"-0.356542881355932"	"-0.315916482142857"	"-0.188175714285714"	"-0.369611153846154"	"-0.387741735849057"
"117"	"regulation of cell cycle"	"-0.492787161538462"	"-0.348071941666667"	"-0.392244112068966"	"-0.310893840336134"	"0.037727"
"118"	"regulation of DNA metabolic process"	"-0.570641234463277"	"-0.420133925925926"	"-0.147729"	"-0.298205428571429"	"0.461140603448276"
"119"	"regulation of organelle organization"	"-0.372982440740741"	"-0.36836911627907"	"-0.287878728813559"	"-0.305179521008403"	"-0.104587512605042"
"120"	"regulation of protein modification process"	"-0.318173984615385"	"-0.374829868852459"	"-0.311261383333333"	"-0.329151838709677"	"-0.198009151515152"
"121"	"regulation of translation"	"-0.120382838888889"	"-0.225415888888889"	"0.207740346153846"	"0.011289568627451"	"0.00413046296296296"
"122"	"regulation of transport"	"-0.239106503787879"	"-0.199878697674419"	"-0.321982075"	"-0.352158538461538"	"-0.366607952380952"
"123"	"response to chemical"	"-0.245780368421053"	"-0.194258939501779"	"-0.27440874912892"	"-0.177725503649635"	"-0.0784527945205479"
"124"	"response to heat"	"-0.262980107142857"	"-0.266879320754717"	"-0.33344238"	"-0.306557705882353"	"-0.253194509090909"
"125"	"response to osmotic stress"	"-0.189429333333334"	"-0.099915140625"	"-0.337992866666667"	"-0.309995112903226"	"-0.18878075"
"126"	"response to oxidative stress"	"-0.228345575555556"	"-0.154726633802817"	"-0.135597"	"-0.134666901408451"	"-0.223820162162162"
"127"	"response to starvation"	"-0.313820791666667"	"-0.346009857142857"	"-0.227322342857143"	"-0.321589545454545"	"-0.186775971428571"
