gene	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	SC_NH4_GAL_20181023
YDR114C	-0.12743	0.065711	1.3516	-0.218669	1.465355	-1.93304	-0.24639
XPT1	-0.202617	0.242838	0.364904	0.131652	0.430441	-0.38651	0.116833
PHM7	0.065585	0.047278	0.597007	-0.154399	0.264103	-0.170031	-0.055086
RPL16A	0.371302	-0.120028	1.750782	-0.376707	0.356724	-1.545343	-0.62451
YLR269C	-0.291624	0.799608	1.229123	-0.371451	0.083994	-0.80085	0.551587
SPO21	-0.120995	0.238133	0.349791	0.008951	0.00733	-0.210996	0.180098
SDC25	-0.054236	0.167134	0.249315	0.066633	0.11258	-0.135973	0.186786
PML1	0.04908	0.356123	0.615267	0.161968	0.147945	-0.245291	0.202577
SAS5	-0.750002	0.344619	0.871489	-0.164446	0.323927	-0.238374	
ALD4	-0.218141	0.039505	0.404682	0.006191	0.197191	0.089131	0.326862
NUP53	-0.385755	-0.004704	0.398767	0.043608		0.083288	0.304639
YGL230C	-0.373477	0.140598	0.316582	0.04219	0.076975	0.044765	0.476607
MRP8	-0.183917	0.022745	0.315796	-0.125577	-0.026409	0.091748	0.127093
DAS2	-0.070002	0.932198	1.23949	-0.219359	0.357342	0.683808	0.06941
SLI1	-0.094859	0.090773	0.261714	-0.06593	-0.003565	0.153631	0.0201
RPL14A	1.746257	-0.348271	2.064299	-1.436535	0.146991	-0.962207	2.339802
NHA1	0.296664	-0.314587	0.282486	0.006168	0.137124	-0.294563	0.540894
SSA1	0.210014	-0.289996	0.15908	-0.155136	-0.03092	-0.234029	0.270613
MRPL4	0.681569	-0.048167	0.578841	-0.76561	0.119589	-0.204159	
RPS21B	0.47985	-0.062488	0.333956	-0.460475			0.815133
HRQ1					0.032742	-0.253768	0.070418
ERS1	0.318221	0.123971	-0.018007	-0.468325	-0.035107	-0.302674	0.25742
YBR232C	-0.522703	0.259937	-0.374218	-0.27526	0.589364	-0.282524	0.746033
YBR287W	-0.223186		-0.045618	-0.401872	0.343792	-0.457876	0.672453
YPK2	-0.129193	-0.03612	-0.017586	-0.1133	0.288848	-0.192699	0.43628
UTR2	-0.03787	0.225099	-0.120457	-0.470221	0.381794	-0.270024	0.574083
YGR126W	-0.024881	-0.047968	0.160543	-0.270837	0.386188	-0.218405	0.295384
DDC1	-0.325296	-0.24236	-0.086039	-0.315914	0.973135	-0.758746	0.547152
IZH3		-0.355329	-0.026984	-0.450242	1.1274		0.447192
YOL098C	-0.53835	0.062739	-0.099746	-0.21177		-0.37739	0.109042
SRB8					1.351215		5.065229
YGR025W	-1.227512	0.233336	0.16073	0.11579	1.028784	-1.796017	0.814875
MTC4	-0.57113		0.203636	-0.141143		-0.236216	0.341028
HER2		0.557456		-0.406676	1.562287		
TCD1		0.119084	0.495668	-0.05491	0.30331	-0.702751	0.601263
GET1	0.063647	1.274421	0.08962	-0.235746	-0.028698	-0.803947	2.386233
COQ11	0.077679		0.061223	-0.278286	0.16374	-0.429529	0.674838
YBR259W	0.233591	0.207437	0.229962	-0.239233	0.135308		0.722441
YJR128W						-0.327434	0.480071
ERV15		0.336904	0.184937	-0.403306	0.263672		1.346664
RDL1	-0.260144	0.263082	0.366783	-0.324405	0.734323	0.060169	1.46135
CAR1	0.093811	0.242361	0.132477	-0.220569	0.076374	-0.035224	0.630239
ATG15	0.006678	0.080246		-0.063817	0.067807	0.000057	0.200065
YHR078W	-0.360241	0.602562	0.36194	-0.113264	0.331284	-0.000378	0.774543
GGA2	-0.050518	0.668118	0.214106	-0.050857	-0.068381	0.254829	0.851415
YRR1	0.048297	0.286564	0.214683	-0.060483			
NUT1				-0.093552	-0.046947	0.032021	1.082862
SIL1	0.103697	0.530447	0.04532	-0.022879	0.039741	-0.194237	0.361592
PRM10	0.093388	0.416796	0.114353	0.160932	0.069376	-0.143015	0.566693
YOL118C	-0.721087	-0.145245	0.076471	-0.566516	0.436298	0.436386	0.517917
NUP84	-1.423185	-0.484364	0.031491	-1.471852	1.155333		1.710241
HAL1	-0.487369	0.075918	-0.169405	-0.343327	0.188054	0.222059	0.561236
YPS1	-0.540135	-0.094442	-0.182618	-0.399216	0.159216	0.298412	0.686313
UGA4	-0.51376	-0.070288		-0.260869	0.399347	0.271465	0.675286
ATG22	-0.593256		0.061631	-0.343339		0.164375	0.587146
HST2	-0.429722	0.124269	-0.096283	-0.349997	-0.02339	0.262779	0.794703
RTS1	-1.198597	-0.901075	-0.765205	-1.519255			2.666148
YOR268C		-0.123874	-0.164408	-0.239912	0.034265	0.209016	0.478076
MYO4	-0.801731	-0.319083	-0.439701	-0.560988	-0.204547	0.793885	1.035424
MTC7	-0.291571	-0.365263	0.115272	-0.601337	0.222187	-0.056939	0.557363
YCR025C	-0.367058	-0.402726	0.252517	-0.778734	0.560067	0.553622	1.027206
LHP1	-0.490464	0.056383	0.120172	-0.165899	0.040243	0.264234	0.268229
NTH1	-0.557515	0.050758	0.062485	-0.19213	-0.030111	0.468753	0.302667
YIR020C	-0.738095	0.318635	0.023405	-0.665228	0.822352	-0.157798	0.20724
MPA43	-0.208009		-0.016317	-0.139922	0.169551	-0.10589	0.117526
YLH47	-0.205089	-0.182677	-0.083597	-0.167873	0.287779	0.055669	0.073795
RMD9	-0.530323	-0.110965	-0.427692	-1.699222	1.567673	0.798306	
GCN1	-0.441951						0.298199
MTC5	-0.348614	-0.034092	0.041729	-0.413141	0.603347	0.101155	0.118472
VMR1	-0.322908	-0.034667	0.111137	-0.749623	0.754739	0.393453	0.522549
TIS11	-0.407254	0.179669	0.005268	-0.481831	0.59625	0.221163	0.298911
SNF4	-0.315709	0.056999	-0.073066	-0.438567	0.899053	0.263708	0.455324
SPS1		0.149542	0.072014	-0.286665	0.68264	0.246067	0.342205
YLR281C	-0.821575	-0.330523	0.594497	-0.961016	0.684623	0.181591	0.08894
YJL206C	-0.608529	-0.149835	0.506303	-0.799465	0.256433	0.431455	0.265926
CYT2	-0.617144	-0.179909	0.324645	-0.343346	0.262492	-0.070991	
BUD20			1.468281				2.371782
YMR057C	-1.779993	-0.537557			1.154957	0.544559	0.60785
CRN1	-0.353571	-0.108497	0.006488	-0.666433			
SKI8	-1.083156	-1.43854	1.005987	-0.047852	1.258729	0.830674	0.223622
YSA1	-0.114899	-0.493594	0.642676	0.033213	0.701711	0.383764	0.242629
YDR015C	-0.130844	0.019036	0.500814	-0.133152	0.709774	0.40939	
PCL2						0.570728	0.296614
GDH2	-0.343837		0.373807	-0.168857	0.681777		0.06728
NCL1		-0.436004	0.442566	-0.085677	0.35878	0.519845	0.43292
EAF3	-0.378354	-0.389918		-0.246391	1.415658	0.691867	1.031308
NIT2	-0.518288	-0.452283	0.412811	-0.188027			
YBL100C				-0.015155	0.723785		0.49813
VPS71		-0.111592		-0.072083			1.736626
FLX1			0.553606		2.532246	1.839876	1.316734
CIT1	-0.360679	-0.017038	0.149982	-0.003806	0.436214	0.144602	0.369172
STE23	-0.558484	0.008266	0.189461	0.150447	0.639516		0.230757
YJL182C	-0.714777	-0.08955	0.146934	0.061114	1.028386	0.628935	0.54413
MXR1	-0.306715	-0.344934	0.209431	0.186729	0.553241	-0.072285	0.617792
ICY1	-0.363987	0.224793		-0.3743	0.300649	0.08162	-0.020666
YPR172W	-0.548103	0.115361	0.359321	-0.592698	0.211149	0.082481	0.054265
SKI7	-0.42172	0.103184	0.540011	-0.67391	0.634221	0.376492	-0.010354
REC114	-0.195476	0.078328		-0.407765	0.557877		-0.04206
PTR2		0.034387	0.623904		0.310314	0.604949	-0.059584
COS111	-1.689519	-0.184856	0.185499	-0.790841	0.027635	0.122709	-0.113612
RNY1		-0.075137	0.198619	-0.646203	0.125904	0.021543	-0.106222
YOR022C	0.520895	0.322397	0.129428	0.173788	0.641584	-0.071801	-0.205683
RIM1	1.155753	1.162582	0.29148	0.324413	1.322622	-0.699616	
YFR024C	0.45555	0.280691	0.182319	0.111429	0.306356	-0.032002	-0.284794
YPT52	0.304641	0.237571	0.129958	0.226588	0.168908	-0.198224	0.00192
RPS11B	0.858795	0.801039	0.314273	-0.433644	1.937938	-0.419837	0.520772
PRD1	0.160015	0.174902	0.075067	-0.050634	0.146661	-0.055107	-0.012815
ATP22		1.647462	0.499794	-0.498947	1.445992		0.4156
MUP1	0.203763	0.442347	0.041889	0.393209	0.439196	-0.239887	-0.271903
AIM18	0.052885	0.213	0.056175	0.207763	0.236382	-0.041044	-0.168406
YBR226C	0.092531	0.310751	0.025134	0.214929	0.163968	-0.254907	-0.217281
PNC1	0.113298	0.328257	0.038104	0.402842	0.020585	-0.257034	-0.263018
AIM34	0.605382	0.31345	-0.189235	0.583581	0.376436	-0.795135	-0.335351
SFM1	-0.558973		0.173042	0.597066	0.514729	-0.000504	0.030582
YKR045C	-0.40314	0.308004	0.559143	0.531951	0.555145	-0.163438	-0.077644
YDL187C	-0.028433	0.090499	0.109947	0.242109		0.043467	0.088035
UBX4	-0.148436	0.268152	0.413917	0.720824	0.620418	0.151625	0.186809
KTR6	-0.032073		0.374228	0.878874	0.437145	0.077257	0.025833
FMP25	-0.03825	-0.026129	0.327999	0.758107	0.659808	0.07118	-0.047428
AIM39	-0.085105	0.210994	0.009225	0.535396	0.511925	0.061685	-0.081496
BNA4	-0.046856	0.472314		0.765538	0.581562	0.316922	-0.254165
RKM3	-0.119928			0.46018	0.281693	0.141161	-0.104044
PRM4	0.035841	-0.003636	0.302602	0.621064	0.117421	0.06151	-0.184255
FUR4	0.047089	0.058002	0.402898	0.4511	0.116737	-0.070035	-0.233618
NAS6		0.109506	0.443566	0.507757	0.142537	-0.055343	-0.171748
AMN1	-0.267615	0.023838	0.417003	0.590373	0.07229	-0.144286	-0.039007
FBP26	0.02285	0.109426	0.187685	0.344524	0.434031	0.524007	-0.049325
JJJ2	-0.127592	0.127694	0.446979	0.749874	0.809342	0.806588	0.484802
IOC2	-0.078848	0.104874	0.226954	0.654734	0.512114	0.667565	0.181342
FMS1	-0.04973	0.23968	0.253896	0.263102		0.356809	0.158484
RPL18B	0.102992	0.377537	0.488894	0.610147	0.662928	0.580414	0.296922
SMA1	0.10988	0.494729	0.516578	0.903599	0.94885	0.542794	0.1893
CSI1	-0.092855	0.566236	0.180525	0.500131	0.680575	0.453525	-0.013354
TRM3	-0.535428	0.48754	0.425137	0.619026	0.911402	0.723163	0.171942
YKL202W	-0.063258	0.472886	0.108269	0.407605	0.561072	0.859777	0.155598
IDP2	-0.00742		-0.028188	0.602363	0.421576	0.473595	0.137107
FAR1	-0.084865		-0.037256	0.870224	0.807003	0.766455	
YPS3		0.162911	-0.052076	0.51322		0.500356	0.107584
SOD2	0.088726	0.012599	-0.125453	0.470094	0.495266	0.357322	0.004146
YCL076W	-0.378682	0.374103	0.474702	0.013361	0.432	0.062859	0.275024
GIP3	-0.176706	0.193389	0.442382		0.431008	0.112506	0.148804
EFT1	-0.293275	0.243018	0.559954	0.273712	0.575198	0.347089	0.239978
SGO1	-0.293242	0.362484	0.402682	0.336809	0.498218	0.099065	0.202174
VHS2	-0.239071	0.408337	0.722491	0.406769	0.931696	0.272632	-0.068355
SNZ2	0.092334	0.01799	0.775219	0.199322	1.4757	0.234815	0.164915
YOL024W	0.019268		0.387843	0.395611	0.521579	0.215193	0.334007
AYT1	0.072787	-0.168143	0.496056		0.516915	0.202092	0.290982
APD1	0.152825	-0.047416	0.878009	0.787901	0.96928	-0.02796	0.381626
CYC3	-0.236677	-0.143795	1.548133	0.467896	1.10636	0.252665	
FMP27	0.132303	-0.010313	0.864505	0.337221	0.837364	0.245738	0.110998
YIL152W	0.015414	-0.214262	0.876719	0.440036	1.422172	0.660405	0.643812
COT1	-0.104332	-0.043428	0.268989	0.138746	0.587462	0.304201	0.23434
IMP2	-0.287638	0.077173	0.685092	0.870065	1.513589	0.974926	
VPS29	-0.242536	-0.013506	0.444006	0.545163			
SMY2			0.432883	0.523716	0.805069	0.322803	0.27867
PUT4	-0.148773	-0.021712	0.317932	0.59348	1.019908	0.22022	0.12769
YPR078C	0.580659		0.194502	-0.054257	0.226361	0.335054	0.054704
PPN1	0.487684	-0.005772	0.20554	0.043148	0.233223	0.122318	0.076689
GOT1	0.938188	-0.026204	0.605523	0.05359	0.605183	0.282149	0.126836
CPT1	0.356099	0.027492	0.24904	-0.091052	0.466411	0.461688	0.052551
YGR291C	0.508477	-0.03211	0.220591		0.464923	0.267204	-0.023927
YAR028W	0.352595		0.225323	-0.048248	0.277102	0.291781	-0.028949
RSM19	1.332442	-0.572306	1.96507	0.777697	1.965309	0.650944	-0.24639
YML119W	0.336026	-0.05626	0.428193	0.017646	0.442229	0.291747	-0.188806
CTF3	0.454445	0.454483	0.718722	0.483511	1.168607	0.640827	0.175736
TIM18	0.428832	0.499213	0.513267	0.409451	1.139466	0.563191	0.115743
TOM7	0.830314	0.635761	1.322731	0.812476	2.318106	1.612266	0.145571
MDM36	0.922086		0.666538	0.633418	2.378828	1.250884	-0.454191
CYM1	1.278008	0.863445	0.954162	0.669502	2.382577	1.497893	-0.211284
MDM31	1.026593	1.021933	1.029283	0.312386	2.094461	1.047527	-0.028302
MRPL7	1.209088	0.340588	0.473901	0.357451	1.645937	1.031776	0.43235
UPS1	1.408669	0.511431	0.856836	0.552462	3.44717	1.771603	0.605659
SSU1	0.113453	0.216618	0.07628	0.028492	0.267445	0.263326	0.014118
IGD1	0.097739	0.200659	0.099995	0.045846	0.330096	0.095996	-0.021417
DBP1	0.16854	0.315299	0.205178	-0.051076	0.473622	0.270749	-0.058203
YDR431W	0.678039	0.460175	0.907859	-0.034665	2.316131	1.49161	-0.720742
AIM11	0.617937	0.326602	0.849618	-0.243589	2.728952	0.881834	-0.356239
FMP33	0.197245			-0.023711	0.752749	0.270645	-0.059873
TGS1	1.586276	0.41077	1.344837	-0.193181	2.793038	0.837404	-0.155631
YFL051C	0.132642		0.366353	-0.049089	0.470712	0.281937	0.071681
BNA6		0.004074	0.436499	-0.026758	0.700954	0.426437	0.046567
MEF1	0.991801	0.092532	1.021647	0.649952	1.910397	1.680162	-0.024159
GPD2	0.115699	-0.090347	0.175403		0.287796	0.325524	0.040327
PEX11	0.140697		0.171165	0.247332	0.510569	0.459714	0.008389
GUT2	0.329106	-0.069057	0.126915	0.14449	0.342018	0.349518	0.030748
ARO80	0.540819		0.006119	0.173547	0.447035	0.415695	-0.007674
WHI5		-0.063483	-0.157224	0.324505	1.843938	1.364272	-0.278665
CBP6	1.121274	0.263617	0.214837	0.286392	1.226904	0.372724	
CIN5		0.273691	0.276464	0.480941	1.138498	0.187693	0.108412
PTC7	1.444934	0.348728	0.659271	0.205753	2.100393	0.103798	-0.829066
MRPL27		0.482963	0.81086	0.174759	2.642546	-0.120292	
PRE9	1.084548	0.785895	1.168206	0.254582	1.78852	0.360713	-1.428389
YNL092W	0.165285	0.049711	0.24932	0.089471	0.407018	0.122525	-0.165961
ATP4	1.286846	1.096719	-0.22361	0.320396	0.685566	1.410869	-0.24639
YLL056C	0.747016	0.177435	0.15462	0.271041	0.446603	0.759113	-0.02183
UBC8	0.378637	0.129747	0.111141	0.043814	0.123128	0.335774	-0.076814
YLR041W	0.561798	0.259388	0.150439	0.005068	0.289021	0.485363	-0.198736
PEX14	0.705829	0.810429	1.193347	0.352136	0.442723	0.777502	-0.00463
ERJ5	0.568773	0.730044	0.735501	0.278628	0.340918		0.110607
