	V5	V2	V3	V4	SC_NH4_GAL_20181023	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	V1	Size	InData	FracInData
29	complex29	Baryshnikova2010	YCL014W; YGR152C; YIL140W; YJR092W; YKL092C; YPR122W	BUD3; RSR1; AXL2; BUD4; BUD2; AXL1	-0.64	-0.58	-0.70	-0.64	-0.84	-0.74	-0.23	bud site selection pathway	6	6	1.00
43	complex43	Baryshnikova2010	YDR252W; YFL028C; YGR134W; YKR036C; YNL278W; YNL288W	BTT1; CAF16; CAF130; CAF4; CAF120; CAF40	0.03	0.09	0.19	0.00	0.11	0.24	-0.01	CCR4-NOT complex	6	6	1.00
82	complex82	Baryshnikova2010	YBL045C; YDR529C; YEL024W; YFR033C; YGR183C; YHR001W-A; YJL166W; YOR065W; YPR191W	COR1; QCR7; RIP1; QCR6; QCR9; QCR10; QCR8; CYT1; QCR2	-1.14	0.21	0.04	0.05	-0.21	-0.22	-0.35	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"	9	9	1.00
163	complex163	Baryshnikova2010	YCR073C; YER118C; YGR014W; YJL128C; YLL043W; YLR006C; YLR113W; YLR248W; YNR031C; YOR208W; YPR075C	SSK22; SHO1; MSB2; PBS2; FPS1; SSK1; HOG1; RCK2; SSK2; PTP2; OPY2	-0.92	-0.42	-0.93	-0.41	-0.55	-0.69	-0.36	HOG pathway	11	11	1.00
248	complex248	Benschop2010	YBL052C; YJR082C; YOR064C; YPL129W; YPR031W	SAS3; EAF6; YNG1; TAF14; NTO1	-0.53	0.13	-0.07	-0.66	-0.58	-0.89	-0.26	NuA3 histone acetyltransferase complex (GO)	5	5	1.00
379	complex379	Benschop2010	YCR095C; YDR067C; YHL029C; YNL032W; YNL056W; YNL099C	OCA4; OCA6; OCA5; SIW14; OCA2; OCA1	0.24	0.41	-0.09	0.97	0.28	0.54	0.46	putative Oca6-Oca5-Oca4-Oca3-Oca1-Oca2 complex	6	6	1.00
413	complex413	Benschop2010	YDR006C; YDR233C; YHR146W; YJL146W; YPL154C	SOK1; RTN1; CRP1; IDS2; PEP4	0.45	0.14	0.13	-0.01	-0.09	-0.17	0.19	putative Sok1-Rtn1-Crp1-Ids2-Pep4 complex	5	5	1.00
520	complex520	Benschop2010 & Baryshnikova2010	YGL213C; YKL023W; YLR398C; YOR076C; YPR189W	SKI8; YKL023W; SKI2; SKI7; SKI3	-0.18	0.16	0.10	-0.34	-0.26	0.44	-0.13	Ski complex	5	5	1.00
528	complex528	Benschop2010	YDR028C; YDR422C; YDR477W; YER027C; YER129W; YGL115W; YGL208W	REG1; SIP1; SNF1; GAL83; SAK1; SNF4; SIP2	0.43	-0.16	0.28	-0.16	-0.20	-0.14	-0.41	snf1 protein kinase complex	7	7	1.00
156	complex156	Benschop2010	YBR009C; YBR010W; YEL056W; YLL022C; YNL030W; YNL031C; YOL054W; YPL001W	HHF1; HHT1; HAT2; HIF1; HHF2; HHT2; PSH1; HAT1	0.51	0.32	0.31	-0.19	-0.07	-0.32	0.04	HAT-A4 complex	8	7	0.88
15	complex15	Benschop2010 & Baryshnikova2010	YFL034W; YHL019C; YJL207C; YKL135C; YLR170C; YPL259C; YPR029C	YFL034W; APM2; LAA1; APL2; APS1; APM1; APL4	-0.20	-0.55	-0.29	-0.64	-0.01	-0.20	-0.28	AP-1 adaptor complex	7	6	0.86
292	complex292	Benschop2010	YBR045C; YBR050C; YDR028C; YER054C; YER133W; YLR273C; YOR178C	GIP1; REG2; REG1; GIP2; GLC7; PIG1; GAC1	-0.55	-0.19	-0.22	-0.33	-0.38	-0.13	-0.47	protein phosphatase type 1 complex (GO)	7	6	0.86
428	complex428	Benschop2010	YFR009W; YGL195W; YKL029C; YKL104C; YLR180W; YML124C; YMR012W	GCN20; GCN1; MAE1; GFA1; SAM1; TUB3; CLU1	0.60	0.38	0.11	-0.15	0.02	-0.10	0.08	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex	7	6	0.86
508	complex508	Benschop2010	YBR103W; YCR033W; YDR155C; YGL194C; YIL112W; YKR029C; YOL068C	SIF2; SNT1; CPR1; HOS2; HOS4; SET3; HST1	0.08	-0.39	-0.67	-0.10	-0.24	-0.26	-0.33	Set3C	7	6	0.86
284	complex284	Benschop2010	YEL003W; YGR078C; YJL179W; YLR200W; YML094W; YNL153C	GIM4; PAC10; PFD1; YKE2; GIM5; GIM3	-0.39	-1.52	-0.95	-1.48	-1.18	-2.54	-1.15	prefoldin complex	6	5	0.83
473	complex473	Benschop2010	YHR012W; YJL053W; YJL154C; YOR069W; YOR132W; YPL070W	VPS29; PEP8; VPS35; VPS5; VPS17; MUK1	0.33	-1.19	-0.36	-0.47	0.24	-0.03	0.17	retromer complex	6	5	0.83
