	V5	V2	V3	V4	SC_NH4_GAL_20181023	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	V1	Size	InData	FracInData
102	complex102	Baryshnikova2010	YBR154C; YDL150W; YDR045C; YHR143W-A; YIL021W; YJL011C; YKL144C; YKR025W; YNL113W; YNL151C; YNR003C; YOR116C; YOR207C; YOR210W; YOR224C; YPR110C; YPR187W; YPR190C	RPB5; RPC53; RPC11; RPC10; RPB3; RPC17; RPC25; RPC37; RPC19; RPC31; RPC34; RPO31; RET1; RPB10; RPB8; RPC40; RPO26; RPC82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DNA-directed RNA polymerase III complex	18.00	0.00	0.00
76	complex76	Benschop2010	YAL043C; YDR195W; YDR301W; YER133W; YGR156W; YJR093C; YKL018W; YKL059C; YKR002W; YLR115W; YLR277C; YMR061W; YNL222W; YNL317W; YOR179C; YPR107C	PTA1; REF2; CFT1; GLC7; PTI1; FIP1; SWD2; MPE1; PAP1; CFT2; YSH1; RNA14; SSU72; PFS2; SYC1; YTH1	NaN	NaN	NaN	0.11	-0.20	0.13	0.22	CPF complex	16.00	1.00	0.06
89	complex89	Baryshnikova2010	YBR233W-A; YDR016C; YDR201W; YDR320C-A; YGL061C; YGR113W; YKL052C; YKL138C-A; YKR037C; YKR083C	DAD3; DAD1; SPC19; DAD4; DUO1; DAM1; ASK1; HSK3; SPC34; DAD2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	DASH complex	10.00	0.00	0.00
475	complex475	Baryshnikova2010	YAL033W; YBL018C; YBR167C; YBR257W; YDR478W; YGR030C; YHR062C; YLR145W; YNL221C; YNL282W	POP5; POP8; POP7; POP4; SNM1; POP6; RPP1; RMP1; POP1; POP3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ribonuclease MRP complex	10.00	0.00	0.00
562	complex562	Baryshnikova2010	YDL108W; YDR079C-A; YDR311W; YDR460W; YER171W; YIL143C; YLR005W; YPL122C; YPR025C; YPR056W	KIN28; TFB5; TFB1; TFB3; RAD3; SSL2; SSL1; TFB2; CCL1; TFB4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	transcription factor TFIIH complex	10.00	0.00	0.00
224	complex224	Baryshnikova2010	YAL043C; YDR228C; YDR301W; YGL044C; YLR115W; YLR277C; YMR061W; YOL123W; YOR250C	PTA1; PCF11; CFT1; RNA15; CFT2; YSH1; RNA14; HRP1; CLP1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mRNA cleavage factor complex	9.00	0.00	0.00
256	complex256	Baryshnikova2010	YAL033W; YBL018C; YBR167C; YBR257W; YGR030C; YHR062C; YIR015W; YNL221C; YNL282W	POP5; POP8; POP7; POP4; POP6; RPP1; RPR2; POP1; POP3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	nucleolar ribonuclease P complex	9.00	0.00	0.00
20	complex20	Baryshnikova2010	YBR234C; YDL029W; YIL062C; YJR065C; YKL013C; YLR370C; YLR429W; YNR035C	ARC40; ARP2; ARC15; ARP3; ARC19; ARC18; CRN1; ARC35	NaN	NaN	NaN	-0.32	-0.15	0.01	-0.78	Arp2/3 protein complex	8.00	1.00	0.13
130	complex130	Benschop2010	YBR102C; YDR166C; YER008C; YGL233W; YIL068C; YJL085W; YLR166C; YPR055W	EXO84; SEC5; SEC3; SEC15; SEC6; EXO70; SEC10; SEC8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	exocyst	8.00	0.00	0.00
228	complex228	Baryshnikova2010	YER025W; YJR007W; YMR146C; YMR309C; YNL244C; YOR361C; YPL237W; YPR041W	GCD11; SUI2; TIF34; NIP1; SUI1; PRT1; SUI3; TIF5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	multi-eIF complex	8.00	0.00	0.00
526	complex526	Baryshnikova2010	YDL105W; YDR288W; YEL019C; YER038C; YLR007W; YLR383W; YML023C; YOL034W	NSE4; NSE3; MMS21; KRE29; NSE1; SMC6; NSE5; SMC5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	smc5p-Smc6p complex	8.00	0.00	0.00
166	complex166	Benschop2010	YAL002W; YDL077C; YDR080W; YLR148W; YLR396C; YMR231W; YPL045W	VPS8; VAM6; VPS41; PEP3; VPS33; PEP5; VPS16	NaN	NaN	NaN	-2.13	1.34	-0.52	0.06	HOPS complex	7.00	1.00	0.14
283	complex283	Baryshnikova2010	YBL023C; YBR060C; YDL017W; YDR052C; YJL194W; YLL004W; YLR103C	MCM2; ORC2; CDC7; DBF4; CDC6; ORC3; CDC45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	pre-IC	7.00	0.00	0.00
532	complex532	Baryshnikova2010	YAL047C; YBR109C; YDR356W; YKL042W; YNL225C; YOR373W; YPL124W	SPC72; CMD1; SPC110; SPC42; CNM67; NUD1; SPC29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	SPB components	7.00	0.00	0.00
74	complex74	Baryshnikova2010	YAL002W; YDR495C; YLR148W; YLR396C; YMR231W; YPL045W	VPS8; VPS3; PEP3; VPS33; PEP5; VPS16	NaN	NaN	NaN	-2.13	1.34	-0.52	0.06	CORVET complex	6.00	1.00	0.17
146	complex146	Benschop2010	YDR437W; YGR216C; YNL038W; YPL076W; YPL096C-A; YPL175W	GPI19; GPI1; GPI15; GPI2; ERI1; SPT14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)	6.00	0.00	0.00
187	complex187	Benschop2010	YBL023C; YBR202W; YEL032W; YGL201C; YLR274W; YPR019W	MCM2; MCM7; MCM3; MCM6; MCM5; MCM4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	MCM complex (GO)	6.00	0.00	0.00
266	complex266	Benschop2010	YBR060C; YHR118C; YLL004W; YML065W; YNL261W; YPR162C	ORC2; ORC6; ORC3; ORC1; ORC5; ORC4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	origin recognition complex	6.00	0.00	0.00
509	complex509	Baryshnikova2010	YML049C; YMR240C; YMR288W; YNL138W-A; YOR319W; YPR094W	RSE1; CUS1; HSH155; YSF3; HSH49; RDS3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	SF3b complex	6.00	0.00	0.00
73	complex73	Benschop2010	YDL208W; YHR072W-A; YHR089C; YLR175W; YNL308C	NHP2; NOP10; GAR1; CBF5; KRI1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	core H-ACA snoRNP	5.00	0.00	0.00
148	complex148	Baryshnikova2010	YDR331W; YDR434W; YHR188C; YLR088W; YLR459W	GPI8; GPI17; GPI16; GAA1; GAB1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	GPI-anchor transamidase complex	5.00	0.00	0.00
251	complex251	Benschop2010	YBL097W; YDR325W; YFR031C; YLR086W; YLR272C	BRN1; YCG1; SMC2; SMC4; YCS4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	nuclear condensin complex	5.00	0.00	0.00
485	complex485	Benschop2010	YBL014C; YER148W; YJL025W; YKL125W; YML043C	RRN6; SPT15; RRN7; RRN3; RRN11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	RNA polymerase I transcription factor complex (GO)	5.00	0.00	0.00
503	complex503	Baryshnikova2010	YDL132W; YDR054C; YDR328C; YFL009W; YOR057W	CDC53; CDC34; SKP1; CDC4; SGT1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	SCF-CDC4 complex	5.00	0.00	0.00
286	complex286	Benschop2010	YBR142W; YCL054W; YDL031W; YDR087C; YDR496C; YER006W; YFL002C; YGL111W; YGR103W; YHR052W; YHR088W; YKL009W; YKL172W; YKR081C; YLL008W; YLL034C; YLR002C; YLR449W; YMR049C; YMR229C; YMR290C; YNL002C; YNL061W; YNL110C; YOL077C; YOR206W; YOR272W; YPL093W; YPL211W; YPR016C	MAK5; SPB1; DBP10; RRP1; PUF6; NUG1; SPB4; NSA1; NOP7; CIC1; RPF1; MRT4; EBP2; RPF2; DRS1; RIX7; NOC3; FPR4; ERB1; RRP5; HAS1; RLP7; NOP2; NOP15; BRX1; NOC2; YTM1; NOG1; NIP7; TIF6	1.83	1.01	0.63	1.59	1.39	1.32	0.79	"preribosome, large subunit precursor"	30.00	1.00	0.03
