	V5	V2	V3	V4	SC_NH4_GAL_20181023	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	V1	Size	InData	FracInData
29	complex29	Baryshnikova2010	YCL014W; YGR152C; YIL140W; YJR092W; YKL092C; YPR122W	BUD3; RSR1; AXL2; BUD4; BUD2; AXL1	-0.640277	-0.584315167	-0.703875	-0.638457	-0.842960667	-0.739592333	-0.233212	bud site selection pathway	6	6	1
43	complex43	Baryshnikova2010	YDR252W; YFL028C; YGR134W; YKR036C; YNL278W; YNL288W	BTT1; CAF16; CAF130; CAF4; CAF120; CAF40	0.025601833	0.0882762	0.1898854	-0.003063833	0.1054774	0.241167667	-0.0098405	CCR4-NOT complex	6	6	1
82	complex82	Baryshnikova2010	YBL045C; YDR529C; YEL024W; YFR033C; YGR183C; YHR001W-A; YJL166W; YOR065W; YPR191W	COR1; QCR7; RIP1; QCR6; QCR9; QCR10; QCR8; CYT1; QCR2	-1.13826925	0.209250375	0.040571111	0.049145286	-0.2129905	-0.219675625	-0.353010286	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"	9	9	1
163	complex163	Baryshnikova2010	YCR073C; YER118C; YGR014W; YJL128C; YLL043W; YLR006C; YLR113W; YLR248W; YNR031C; YOR208W; YPR075C	SSK22; SHO1; MSB2; PBS2; FPS1; SSK1; HOG1; RCK2; SSK2; PTP2; OPY2	-0.9247576	-0.419179625	-0.9277599	-0.410798	-0.5480556	-0.687755778	-0.362747222	HOG pathway	11	11	1
248	complex248	Benschop2010	YBL052C; YJR082C; YOR064C; YPL129W; YPR031W	SAS3; EAF6; YNG1; TAF14; NTO1	-0.52902	0.1347474	-0.072333	-0.656948	-0.5831116	-0.887776	-0.2572734	NuA3 histone acetyltransferase complex (GO)	5	5	1
379	complex379	Benschop2010	YCR095C; YDR067C; YHL029C; YNL032W; YNL056W; YNL099C	OCA4; OCA6; OCA5; SIW14; OCA2; OCA1	0.2380415	0.411414667	-0.0926774	0.971708167	0.2750325	0.535306	0.4556795	putative Oca6-Oca5-Oca4-Oca3-Oca1-Oca2 complex	6	6	1
413	complex413	Benschop2010	YDR006C; YDR233C; YHR146W; YJL146W; YPL154C	SOK1; RTN1; CRP1; IDS2; PEP4	0.4508774	0.14331875	0.1281196	-0.007307	-0.0899105	-0.170375	0.1926242	putative Sok1-Rtn1-Crp1-Ids2-Pep4 complex	5	5	1
520	complex520	Benschop2010 & Baryshnikova2010	YGL213C; YKL023W; YLR398C; YOR076C; YPR189W	SKI8; YKL023W; SKI2; SKI7; SKI3	-0.1802022	0.1622296	0.0965428	-0.3442092	-0.26005	0.4396086	-0.1271866	Ski complex	5	5	1
528	complex528	Benschop2010	YDR028C; YDR422C; YDR477W; YER027C; YER129W; YGL115W; YGL208W	REG1; SIP1; SNF1; GAL83; SAK1; SNF4; SIP2	0.425542333	-0.156555833	0.2820014	-0.1557578	-0.1978245	-0.136948	-0.409083429	snf1 protein kinase complex	7	7	1
156	complex156	Benschop2010	YBR009C; YBR010W; YEL056W; YLL022C; YNL030W; YNL031C; YOL054W; YPL001W	HHF1; HHT1; HAT2; HIF1; HHF2; HHT2; PSH1; HAT1	0.506617571	0.319693286	0.311427571	-0.190135	-0.0744354	-0.316768714	0.035758714	HAT-A4 complex	8	7	0.875
15	complex15	Benschop2010 & Baryshnikova2010	YFL034W; YHL019C; YJL207C; YKL135C; YLR170C; YPL259C; YPR029C	YFL034W; APM2; LAA1; APL2; APS1; APM1; APL4	-0.204128333	-0.553702167	-0.2925155	-0.6361602	-0.01043	-0.201192	-0.27576	AP-1 adaptor complex	7	6	0.857142857
292	complex292	Benschop2010	YBR045C; YBR050C; YDR028C; YER054C; YER133W; YLR273C; YOR178C	GIP1; REG2; REG1; GIP2; GLC7; PIG1; GAC1	-0.5490345	-0.189737667	-0.2226156	-0.334761	-0.3838726	-0.1270176	-0.4666675	protein phosphatase type 1 complex (GO)	7	6	0.857142857
428	complex428	Benschop2010	YFR009W; YGL195W; YKL029C; YKL104C; YLR180W; YML124C; YMR012W	GCN20; GCN1; MAE1; GFA1; SAM1; TUB3; CLU1	0.602524167	0.3788492	0.1147622	-0.1531844	0.024399	-0.0954304	0.0792648	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex	7	6	0.857142857
508	complex508	Benschop2010	YBR103W; YCR033W; YDR155C; YGL194C; YIL112W; YKR029C; YOL068C	SIF2; SNT1; CPR1; HOS2; HOS4; SET3; HST1	0.0786508	-0.3889198	-0.6710428	-0.1010348	-0.2389196	-0.256721667	-0.334414667	Set3C	7	6	0.857142857
284	complex284	Benschop2010	YEL003W; YGR078C; YJL179W; YLR200W; YML094W; YNL153C	GIM4; PAC10; PFD1; YKE2; GIM5; GIM3	-0.3854148	-1.518479	-0.945577	-1.4794642	-1.1770624	-2.5362098	-1.1494788	prefoldin complex	6	5	0.833333333
473	complex473	Benschop2010	YHR012W; YJL053W; YJL154C; YOR069W; YOR132W; YPL070W	VPS29; PEP8; VPS35; VPS5; VPS17; MUK1	0.334094	-1.186843	-0.3581705	-0.4707566	0.236657	-0.0295188	0.1705518	retromer complex	6	5	0.833333333
515	complex515	Baryshnikova2010	YDL216C; YDR179C; YIL071C; YJR084W; YMR025W; YOL117W	RRI1; CSN9; PCI8; YJR084W; CSI1; RRI2	-0.3179898	-0.0393056	0.1577756	-0.1108792	0.348231	-0.0272025	0.16922525	signalosome complex	6	5	0.833333333
79	complex79	Benschop2010	YBR114W; YGR003W; YJR052W; YNL230C; YPL046C	RAD16; CUL3; RAD7; ELA1; ELC1	-0.01114325	0.189134667	0.184546	-0.065945	0.080327	-0.477637667	-0.229501	Cul3-RING ubiquitin ligase complex (GO)	5	4	0.8
103	complex103	Baryshnikova2010	YBR170C; YDL126C; YIL030C; YML013W; YMR264W	NPL4; CDC48; SSM4; UBX2; CUE1	0.1699225	-0.2874695	-0.03723875	-0.11412225	-0.343771	0.141855	-0.3830665	Doa10p ubiquitin ligase complex	5	4	0.8
